 


Daily Averaged Summary
CHAMPAIGN WILLARD AP (IL)
WBAN ID: 94870
Lat/Lon/Elev: 40.0397/-88.2778/754ft.
 
Date,Max Hourly Temp (F),Min Hourly Temp (F),Max Wind Speed (mph),Total Precip (in),
2010-01-01,12,2,15,M,
2010-01-02,6,-5,15,0.00,
2010-01-03,10,-6,11,0.00,
2010-01-04,11,-2,20,0.00,
2010-01-05,10,-1,16,M,
2010-01-06,18,-3,8,M,
2010-01-07,22,10,25,M,
2010-01-08,19,6,20,M,
2010-01-09,9,-9,16,0.00,
2010-01-10,19,-12,18,0.00,
2010-01-11,23,16,16,M,
2010-01-12,26,12,15,M,
2010-01-13,33,11,17,0.00,
2010-01-14,37,25,15,0.00,
2010-01-15,35,30,8,M,
2010-01-16,33,28,8,M,
2010-01-17,32,27,16,M,
2010-01-18,34,32,11,M,
2010-01-19,32,27,15,M,
2010-01-20,32,27,22,M,
2010-01-21,34,32,21,M,
2010-01-22,36,32,17,M,
2010-01-23,45,34,22,M,
2010-01-24,47,31,25,M,
2010-01-25,31,21,28,M,
2010-01-26,20,13,28,M,
2010-01-27,30,13,16,M,
2010-01-28,21,7,17,0.00,
2010-01-29,18,9,16,0.00,
2010-01-30,23,11,18,0.00,
2010-01-31,27,5,11,0.00,
2010-02-01,34,13,9,0.00,
2010-02-02,34,21,16,M,
2010-02-03,28,19,14,M,
2010-02-04,35,22,11,M,
2010-02-05,33,30,31,M,
2010-02-06,31,18,33,M,
2010-02-07,26,14,8,0.00,
2010-02-08,27,13,13,M,
2010-02-09,23,10,26,M,
2010-02-10,25,8,28,M,
2010-02-11,21,0,8,M,
2010-02-12,26,8,8,M,
2010-02-13,26,4,11,M,
2010-02-14,29,6,9,M,
2010-02-15,24,13,17,M,
2010-02-16,29,15,21,M,
2010-02-17,29,15,14,0.00,
2010-02-18,29,9,13,M,
2010-02-19,33,8,8,0.03,
2010-02-20,37,30,13,M,
2010-02-21,35,33,16,0.49,
2010-02-22,34,30,17,M,
2010-02-23,32,21,18,M,
2010-02-24,21,15,20,M,
2010-02-25,32,18,16,0.00,
2010-02-26,34,17,21,0.00,
2010-02-27,33,21,16,M,
2010-02-28,40,28,14,M,
2010-03-01,38,30,14,M,
2010-03-02,33,30,14,0.00,
2010-03-03,39,25,14,0.00,
2010-03-04,44,21,15,0.00,
2010-03-05,45,21,8,0.00,
2010-03-06,46,23,8,0.00,
2010-03-07,45,27,14,M,
2010-03-08,45,29,10,M,
2010-03-09,57,32,16,M,
2010-03-10,69,45,20,M,
2010-03-11,64,43,24,0.36,
2010-03-12,48,34,16,M,
2010-03-13,48,43,15,M,
2010-03-14,45,41,21,M,
2010-03-15,46,40,14,0.00,
2010-03-16,61,34,14,M,
2010-03-17,63,35,10,M,
2010-03-18,63,32,13,0.00,
2010-03-19,63,37,16,0.00,
2010-03-20,50,35,23,0.00,
2010-03-21,46,35,25,0.05,
2010-03-22,56,31,22,0.04,
2010-03-23,65,26,13,0.00,
2010-03-24,65,39,14,0.01,
2010-03-25,50,29,30,M,
2010-03-26,46,26,18,0.00,
2010-03-27,55,30,18,0.06,
2010-03-28,50,34,21,M,
2010-03-29,54,33,15,0.00,
2010-03-30,63,31,16,0.00,
2010-03-31,77,48,28,0.00,
2010-04-01,83,52,28,0.00,
2010-04-02,78,54,31,0.00,
2010-04-03,58,38,24,M,
2010-04-04,75,42,28,0.00,
2010-04-05,73,53,16,0.00,
2010-04-06,82,60,29,0.00,
2010-04-07,70,48,26,M,
2010-04-08,54,33,24,M,
2010-04-09,60,30,13,0.00,
2010-04-10,75,43,21,0.00,
2010-04-11,78,47,14,0.00,
2010-04-12,79,48,18,0.00,
2010-04-13,83,47,10,0.00,
2010-04-14,86,49,14,0.00,
2010-04-15,84,55,25,0.00,
2010-04-16,69,45,22,M,
2010-04-17,61,34,22,0.00,
2010-04-18,63,36,14,0.00,
2010-04-19,63,38,11,0.00,
2010-04-20,67,45,10,0.00,
2010-04-21,72,38,13,0.02,
2010-04-22,72,42,9,0.04,
2010-04-23,60,55,20,M,
2010-04-24,67,55,23,M,
2010-04-25,61,49,22,M,
2010-04-26,65,48,22,0.00,
2010-04-27,62,37,17,0.00,
2010-04-28,65,33,11,M,
2010-04-29,78,45,38,0.00,
2010-04-30,77,61,34,M,
2010-05-01,73,63,23,M,
2010-05-02,70,53,23,M,
2010-05-03,76,49,22,M,
2010-05-04,79,46,23,0.00,
2010-05-05,80,54,17,0.00,
2010-05-06,73,43,13,0.00,
2010-05-07,78,49,33,M,
2010-05-08,51,36,30,0.00,
2010-05-09,61,32,13,0.00,
2010-05-10,63,44,25,0.45,
2010-05-11,70,50,26,M,
2010-05-12,67,53,21,M,
2010-05-13,82,58,28,M,
2010-05-14,69,51,16,0.00,
2010-05-15,66,48,11,0.00,
2010-05-16,61,54,15,0.14,
2010-05-17,57,50,17,M,
2010-05-18,63,50,24,0.01,
2010-05-19,72,49,17,M,
2010-05-20,63,51,21,M,
2010-05-21,70,59,18,M,
2010-05-22,80,57,15,M,
2010-05-23,91,62,17,0.00,
2010-05-24,93,67,14,0.01,
2010-05-25,89,66,11,0.00,
2010-05-26,90,66,13,M,
2010-05-27,87,64,21,0.00,
2010-05-28,86,59,16,0.00,
2010-05-29,90,65,11,0.00,
2010-05-30,91,65,13,0.00,
2010-05-31,87,64,17,0.07,
2010-06-01,85,64,15,M,
2010-06-02,78,64,16,M,
2010-06-03,80,65,10,0.00,
2010-06-04,88,61,18,M,
2010-06-05,83,71,24,M,
2010-06-06,78,58,20,M,
2010-06-07,79,57,11,0.00,
2010-06-08,74,64,16,M,
2010-06-09,80,64,14,M,
2010-06-10,84,59,13,0.00,
2010-06-11,88,72,16,M,
2010-06-12,87,69,16,M,
2010-06-13,84,69,14,M,
2010-06-14,84,68,10,M,
